LWC_3404806011786524_01,"分享 图片 这 是 我 爱 拍 照片 的 爸爸 , 和 一 <CL> 抱 这 金 猪 睡觉 的 妹妹 !",妹妹,个,个,个,个
LWC_3402530816084470_01,哈哈 跳舞 之前 聚 <CL> 餐 。,餐,个,个,个,个
LWC_3402585335839564_01,"爸 妈 在 姑姑 的 委任 下 , 在 圆满 完成 三 <CL> 月 的 陪读 任务 后 , 带 着 表弟 今天 到家 了 。",月,个,个,个,个
LWC_3402809229735452_03,"活 着 很 好 , 嗯 , 再 吃 一 <CL> 苹果 。",苹果,个,个,个,个
LWC_3404190783519301_03,"嘉兴 质监 给 大家 拜 <CL> 早年 , 祝 大家 龙年 大吉 , 新春 快乐 !",早年,个,个,个,个
LWC_3401963710681507_02,"林起 之前 微博胃痛痛 到 死 左 <CL> 女仔 , 不寒而栗",女仔,个,个,个,个
LWC_3406202875068167_01,我 从 春节 前 两 <CL> 星期 开始 吃 到 现在 胖 了 六 斤 继续 !,星期,个,个,个,个
LWC_3406078665006865_03,"烧 <CL> 香 这么 不 容易 , 拔山 涉水么 ?",香,个,个,个,个
LWC_3405340192542167_01,我 相信 你 绝对 是 因为 找 不 到 多 人 图 了 才 勉为其难 转 了 这 <CL> 图 的 对 不 对 !,图,张,个,张,张
LWC_3402189475285693_01,"分享 图片 做 了 4 <CL> 不同 速度 的 gif , 说 快 的 比较 好 , 哈哈 , 我 觉得 快 的 动 起来 好 喜感 呀 女装版 的 锦渊 , 娇柔 却 不 乏 英气 , 女帝",速度,个,个,块,个
LWC_3403505434247847_01,"已经 提前 一 <CL> 多 小时 出来 拉 , 不 会 又 迟到 吧 !",小时,个,个,个,个
LWC_3403148532629657_01,求 上海 每 <CL> 区 的 中心 位置 可 开 银行 的 商铺 。,区,个,个,个,个
LWC_3402097976162946_01,"对 说 昨天 看 了 你 主演 的 电视 电影 美人 三 嫁 , 演绎 的 很 到位 , 塑造 了 一 <CL> 外表 冰冷 但 内心 善良 的 坚强 女孩 。",女孩,个,个,个,个
LWC_3402339006684107_01,2011 新款 秋冬 高腰裤 休闲 裤大码 女 裤子 韩版显 瘦小脚裤 加厚 铅 笔 裤售价 8800 元 最近 售出 3085 <CL> 淘宝 地址 相关 商品,地址,件,个,件,件
LWC_3404013683248392_07,是 <CL> 冰山 攻 。,攻,个,个,个,个
LWC_3404264209049224_03,http t cn z0kNWMT 我 可以 不 可 跟 我 妈 说 我 想 买 <CL> 音箱 回来 学习 模电 。,音箱,个,个,个,个
LWC_3401923843749706_01,"大半夜 一 <CL> 人 都 能 咯咯咯 地 笑出 声 来 , 因为 此刻 的 我 想起 了 某 人 傻笑 的 样子 。",人,个,个,个,个
LWC_3406608778605680_01,"姐姐 从 英国 回来 越 发 漂亮 自信 , 而 我 却 还 是 <CL> 卑微 的 丑 小 鸭 。",鸭,个,个,只,个
LWC_3402001920849604_01,"看 人人 , 看到 一 <CL> 谁 TM 能 这么 爱 我 的 日志 。",日志,个,个,篇,个
